# curie_map:
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   ICD10CM: http://purl.bioontology.org/ontology/ICD10CM/
#   ICD10WHO: https://icd.who.int/browse10/2019/en#/
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/18b0f3e3-d6c7-4125-9995-3f0063cd6dc3
# mapping_tool: oaklib
# object_match_field:
# - oio:hasBroadSynonym
# object_preprocessing:
# - semapv:RegularExpressionReplacement
# subject_match_field:
# - rdfs:label
# subject_preprocessing:
# - semapv:RegularExpressionReplacement
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	subject_preprocessing	object_preprocessing
MONDO:0000001	disease or disorder	skos:exactMatch	NCIT:C25457	Condition	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	condition		
MONDO:0000001	disease or disorder	skos:exactMatch	NCIT:C156809	Medical Condition	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	medical condition		
MONDO:0000004	adrenocortical insufficiency	skos:narrowMatch	ICD10CM:E27.49	Other adrenocortical insufficiency	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasBroadSynonym	adrenocortical insufficiency		semapv:RegularExpressionReplacement
MONDO:0000004	adrenocortical insufficiency	skos:narrowMatch	ICD10CM:E27.49	Other adrenocortical insufficiency	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasBroadSynonym	adrenocortical insufficiency		semapv:RegularExpressionReplacement
MONDO:0000004	adrenocortical insufficiency	skos:exactMatch	NCIT:C113211	Hypocortisolemia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	hypocortisolemia		
MONDO:0000159	bone marrow failure syndrome	skos:exactMatch	NCIT:C165614	Bone Marrow Failure Syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	bone marrow failure syndrome		
MONDO:0000224	acquired carbohydrate metabolism disease	skos:closeMatch	NCIT:C97089	Carbohydrate Metabolism Disorder	semapv:LexicalMatching	oaklib		oio:hasRelatedSynonym	rdfs:label	carbohydrate metabolism disorder	semapv:RegularExpressionReplacement	
MONDO:0000328	hyperphosphatemia	skos:exactMatch	NCIT:C113750	Hyperphosphatemia	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	hyperphosphatemia		
MONDO:0000328	hyperphosphatemia	skos:exactMatch	NCIT:C113750	Hyperphosphatemia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	hyperphosphatemia	semapv:RegularExpressionReplacement	
MONDO:0000328	hyperphosphatemia	skos:exactMatch	NCIT:C113750	Hyperphosphatemia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	hyperphosphatemia		
MONDO:0000376	respiratory system cancer	skos:exactMatch	NCIT:C4571	Malignant Respiratory System Neoplasm	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	malignant respiratory system neoplasm		
MONDO:0000380	paranasal sinus carcinoma	skos:closeMatch	NCIT:C8193	Paranasal Sinus Squamous Cell Carcinoma	semapv:LexicalMatching	oaklib		oio:hasRelatedSynonym	rdfs:label	paranasal sinus squamous cell carcinoma		
MONDO:0000380	paranasal sinus carcinoma	skos:closeMatch	NCIT:C6019	Paranasal Sinus Adenoid Cystic Carcinoma	semapv:LexicalMatching	oaklib		oio:hasRelatedSynonym	rdfs:label	paranasal sinus adenoid cystic carcinoma		
MONDO:0000380	paranasal sinus carcinoma	skos:closeMatch	NCIT:C6017	Paranasal Sinus Adenocarcinoma	semapv:LexicalMatching	oaklib		oio:hasRelatedSynonym	rdfs:label	paranasal sinus adenocarcinoma		
MONDO:0000380	paranasal sinus carcinoma	skos:closeMatch	NCIT:C6018	Paranasal Sinus Mucoepidermoid Carcinoma	semapv:LexicalMatching	oaklib		oio:hasRelatedSynonym	rdfs:label	paranasal sinus mucoepidermoid carcinoma		
