mondo_id	subset	omim_id
ID	AI oboInOwl:inSubset	>A oboInOwl:source
MONDO:0000070	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607948
MONDO:0001056	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:613659
MONDO:0002009	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608516
MONDO:0002629	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:259500
MONDO:0004951	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609423
MONDO:0005002	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:606963
MONDO:0005090	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:181500
MONDO:0005147	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:222100
MONDO:0005148	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:125853
MONDO:0005298	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:166710
MONDO:0005575	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:114500
MONDO:0006292	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:156240
MONDO:0007079	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:103780
MONDO:0007088	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:104300
MONDO:0007103	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:105400
MONDO:0007104	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:105500
MONDO:0007126	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:106300
MONDO:0007154	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:108010
MONDO:0007329	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:215600
MONDO:0007348	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:120080
MONDO:0007403	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:123400
MONDO:0007487	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:127700
MONDO:0007488	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:127750
MONDO:0007566	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:132800
MONDO:0007573	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:133180
MONDO:0007661	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:137580
MONDO:0007699	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:140300
MONDO:0007704	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:140600
MONDO:0007723	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:142623
MONDO:0007748	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:143870
MONDO:0007750	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:143890
MONDO:0007763	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:144700
MONDO:0007781	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:145500
MONDO:0007783	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:145600
MONDO:0007788	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:145750
MONDO:0007845	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:148000
MONDO:0007915	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:152700
MONDO:0007932	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:153800
MONDO:0007959	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:155255
MONDO:0007964	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:155601
MONDO:0007967	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:155755
MONDO:0008000	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:157300
MONDO:0008048	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:160150
MONDO:0008114	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:164230
MONDO:0008143	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:165720
MONDO:0008162	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:166760
MONDO:0008185	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:167800
MONDO:0008199	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:168600
MONDO:0008233	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:171300
MONDO:0008334	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:177900
MONDO:0008383	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:180300
MONDO:0008399	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:181000
MONDO:0008458	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:183090
MONDO:0008559	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:188050
MONDO:0008560	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:188055
MONDO:0008566	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:188470
MONDO:0008567	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:188550
MONDO:0008570	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:188580
MONDO:0008590	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:190300
MONDO:0008667	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:193300
MONDO:0008734	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:202300
MONDO:0008746	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:203200
MONDO:0008834	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:208550
MONDO:0008854	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:209900
MONDO:0008887	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:211400
MONDO:0008903	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:211980
MONDO:0008930	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:212750
MONDO:0009061	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:219700
MONDO:0009335	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:235400
MONDO:0009348	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:236000
MONDO:0009500	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:245300
MONDO:0009518	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:246300
MONDO:0009672	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:253400
MONDO:0009693	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:254500
MONDO:0009696	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:254770
MONDO:0009741	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:256700
MONDO:0009789	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:258660
MONDO:0009837	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:260500
MONDO:0009925	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:264800
MONDO:0009960	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:266600
MONDO:0010086	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:272120
MONDO:0010108	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:273300
MONDO:0010169	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:276901
MONDO:0010321	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:300425
MONDO:0010341	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:300495
MONDO:0010342	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:300496
MONDO:0010432	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:300807
MONDO:0010440	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:300830
MONDO:0010449	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:300847
MONDO:0010469	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:300872
MONDO:0010640	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:308905
MONDO:0010799	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:580000
MONDO:0010833	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:600155
MONDO:0010853	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:600263
MONDO:0010863	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:600320
MONDO:0010940	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:600807
MONDO:0010943	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:600850
MONDO:0010947	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:600880
MONDO:0011027	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:601283
MONDO:0011037	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:601331
MONDO:0011068	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:601388
MONDO:0011073	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:601410
MONDO:0011112	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:601583
MONDO:0011120	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:601634
MONDO:0011138	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:601744
MONDO:0011158	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:601859
MONDO:0011163	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:601887
MONDO:0011168	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:601942
MONDO:0011183	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:602080
MONDO:0011191	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:602089
MONDO:0011237	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:602491
MONDO:0011280	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:603013
MONDO:0011285	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:603075
MONDO:0011361	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:603688
MONDO:0011369	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:603776
MONDO:0011385	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:603932
MONDO:0011386	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:603933
MONDO:0011429	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:604302
MONDO:0011450	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:604370
MONDO:0011498	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:604906
MONDO:0011508	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:605027
MONDO:0011554	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:605429
MONDO:0011573	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:605606
MONDO:0011596	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:605803
MONDO:0011622	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:605990
MONDO:0011650	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:606217
MONDO:0011684	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:606579
MONDO:0011685	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:606581
MONDO:0011693	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:606657
MONDO:0011695	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:606660
MONDO:0011696	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:606661
MONDO:0011713	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:606719
MONDO:0011739	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:606856
MONDO:0011764	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607060
MONDO:0011784	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607151
MONDO:0011789	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607174
MONDO:0011805	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607277
MONDO:0011806	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607278
MONDO:0011817	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607339
MONDO:0011836	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607464
MONDO:0011875	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607628
MONDO:0011892	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607682
MONDO:0011896	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607688
MONDO:0011913	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607822
MONDO:0011916	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607831
MONDO:0011918	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607834
MONDO:0011919	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607836
MONDO:0011923	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:607850
MONDO:0011953	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608033
MONDO:0011962	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608089
MONDO:0011982	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608175
MONDO:0011986	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608189
MONDO:0012011	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608320
MONDO:0012039	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608446
MONDO:0012057	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608556
MONDO:0012132	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608812
MONDO:0012141	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608864
MONDO:0012148	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608902
MONDO:0012153	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:608907
MONDO:0012183	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609048
MONDO:0012202	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609148
MONDO:0012252	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609322
MONDO:0012292	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609532
MONDO:0012339	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609753
MONDO:0012341	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:609755
MONDO:0012419	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610149
MONDO:0012454	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610251
MONDO:0012466	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610297
MONDO:0012482	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610379
MONDO:0012488	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610424
MONDO:0012499	http://purl.obolibrary.org/obo/mondo#omim_susceptibility	OMIM:610446
