subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0000009	inherited bleeding disorder, platelet-type	skos:closeMatch	ICD10CM:D69.1	Qualitative platelet defects	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	thrombocytopathy	LEXMATCH
MONDO:0000158	developmental dysplasia of the hip	skos:closeMatch	ICD10CM:Q65.89	Other specified congenital deformities of hip	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	congenital acetabular dysplasia	LEXMATCH
MONDO:0000225	human monocytic ehrlichiosis	skos:closeMatch	ICD10CM:A77.41	Ehrlichiosis chafeensis [E. chafeensis]	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	ehrlichiosis chafeensis	LEXMATCH
MONDO:0000225	human monocytic ehrlichiosis	skos:closeMatch	ICD10CM:A77.41	Ehrlichiosis chafeensis [E. chafeensis]	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	ehrlichiosis chafeensis	LEXMATCH
MONDO:0000408	fetal alcohol spectrum disorder	skos:closeMatch	ICD10CM:Q86.0	Fetal alcohol syndrome (dysmorphic)	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	fetal alcohol syndrome	LEXMATCH
MONDO:0000476	generalized dystonia	skos:closeMatch	ICD10CM:G24.1	Genetic torsion dystonia	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	idiopathic familial dystonia	LEXMATCH
MONDO:0000476	generalized dystonia	skos:closeMatch	ICD10CM:G24.1	Genetic torsion dystonia	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	dystonia musculorum deformans	LEXMATCH
MONDO:0000481	cervical dystonia	skos:closeMatch	ICD10CM:G24.3	Spasmodic torticollis	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	spasmodic torticollis	LEXMATCH
MONDO:0000596	paraphilic disorder	skos:closeMatch	ICD10CM:F65.8	Other paraphilias	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasBroadSynonym	paraphilias	LEXMATCH
MONDO:0000596	paraphilic disorder	skos:closeMatch	ICD10CM:F65.89	Other paraphilias	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasBroadSynonym	paraphilias	LEXMATCH
MONDO:0000596	paraphilic disorder	skos:closeMatch	ICD10CM:F65	Paraphilias	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	paraphilias	LEXMATCH
MONDO:0000741	angular cheilitis	skos:closeMatch	ICD10CM:K13.0	Diseases of lips	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	cheilosis	LEXMATCH
MONDO:0000809	purpura fulminans	skos:closeMatch	ICD10CM:D65	Disseminated intravascular coagulation [defibrination syndrome]	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	fibrinolytic purpura	LEXMATCH
MONDO:0000888	gastrointestinal mucositis	skos:closeMatch	ICD10CM:K12.3	Oral mucositis (ulcerative)	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	mucositis	LEXMATCH
MONDO:0001065	supine hypotensive syndrome	skos:closeMatch	ICD10CM:O26.5	Maternal hypotension syndrome	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	maternal hypotension syndrome	LEXMATCH
