subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0000814	B-cell adult acute lymphocytic leukemia	skos:narrowMatch	DOID:0080638	B-cell acute lymphoblastic leukemia	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	b acute lymphoblastic leukemia	LEXMATCH
MONDO:0000872	B-cell childhood acute lymphoblastic leukemia	skos:narrowMatch	DOID:0080638	B-cell acute lymphoblastic leukemia	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	b acute lymphoblastic leukemia	LEXMATCH
MONDO:0002470	photosensitive trichothiodystrophy	skos:narrowMatch	DOID:0111866	trichothiodystrophy	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	trichothiodystrophy	LEXMATCH
MONDO:0003390	glycogen-rich clear cell breast carcinoma	skos:narrowMatch	DOID:0081028	glycogen-rich carcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	glycogen-rich carcinoma	LEXMATCH
MONDO:0003690	adult anaplastic ependymoma	skos:narrowMatch	DOID:5889	anaplastic ependymoma	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	anaplastic ependymoma	LEXMATCH
MONDO:0004249	pediatric supratentorial ependymoma	skos:narrowMatch	DOID:0080890	supratentorial ependymoma	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	supratentorial ependymoma	LEXMATCH
MONDO:0004483	thyroid gland oncocytic adenoma	skos:narrowMatch	DOID:0070311	oligoasthenoteratozoospermia	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	oat	LEXMATCH
MONDO:0005247	bacterial urinary tract infection	skos:narrowMatch	DOID:0080784	urinary tract infection	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	uti	LEXMATCH
MONDO:0005247	bacterial urinary tract infection	skos:narrowMatch	DOID:0080784	urinary tract infection	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	urinary tract infection	LEXMATCH
MONDO:0007157	arthrogryposis, distal, type 1A	skos:narrowMatch	DOID:0080954	arthrogryposis multiplex congenita	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	arthrogryposis multiplex congenita	LEXMATCH
MONDO:0007540	multiple endocrine neoplasia type 1	skos:narrowMatch	DOID:3125	multiple endocrine neoplasia	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	multiple endocrine adenomatosis	LEXMATCH
MONDO:0009557	mandibuloacral dysplasia with type A lipodystrophy	skos:narrowMatch	DOID:0081127	mandibuloacral dysplasia	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	mandibuloacral dysplasia	LEXMATCH
MONDO:0010178	congenital bilateral aplasia of vas deferens from CFTR mutation	skos:narrowMatch	DOID:0111862	congenital bilateral absence of vas deferens	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	congenital bilateral absence of vas deferens	LEXMATCH
MONDO:0010589	Aarskog-Scott syndrome, X-linked	skos:narrowMatch	DOID:0111824	Aarskog syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	aarskog-scott syndrome	LEXMATCH
MONDO:0010589	Aarskog-Scott syndrome, X-linked	skos:narrowMatch	DOID:0111824	Aarskog syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	aarskog syndrome	LEXMATCH
MONDO:0010589	Aarskog-Scott syndrome, X-linked	skos:narrowMatch	DOID:0111824	Aarskog syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	faciogenital dysplasia	LEXMATCH
MONDO:0010589	Aarskog-Scott syndrome, X-linked	skos:narrowMatch	DOID:0111824	Aarskog syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	faciodigitogenital syndrome	LEXMATCH
MONDO:0015353	neuronopathy, distal hereditary motor, type 5A	skos:narrowMatch	DOID:0111214	distal spinal muscular atrophy type 5	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	distal spinal muscular atrophy type 5	LEXMATCH
MONDO:0015589	paraneoplastic limbic encephalitis	skos:narrowMatch	DOID:0080741	limbic encephalitis	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	limbic encephalitis	LEXMATCH
MONDO:0020511	precursor B-cell acute lymphoblastic leukemia	skos:narrowMatch	DOID:0080638	B-cell acute lymphoblastic leukemia	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	oio:hasExactSynonym	b-cell acute lymphocytic leukemia	LEXMATCH
