subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0001883	blue toe syndrome	DOID:1461	MONDO:equivalentTo	cholesterol embolism	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	purple toe syndrome
MONDO:0001883	blue toe syndrome	DOID:1461	MONDO:equivalentTo	cholesterol embolism	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	trash foot
MONDO:0001883	blue toe syndrome	DOID:1461	MONDO:equivalentTo	cholesterol embolism	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	warfarin blue toe syndrome
MONDO:0005098	stroke disorder	DOID:0051061	MONDO:equivalentTo	stroke	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	stroke
MONDO:0005098	stroke disorder	DOID:0051061	MONDO:equivalentTo	stroke	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	stroke
MONDO:0006382	poorly differentiated thyroid gland carcinoma	DOID:3972	MONDO:equivalentTo	poorly differentiated thyroid carcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	insular carcinoma
MONDO:0006382	poorly differentiated thyroid gland carcinoma	DOID:3972	MONDO:equivalentTo	poorly differentiated thyroid carcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	poorly differentiated carcinoma of thyroid gland
MONDO:0006382	poorly differentiated thyroid gland carcinoma	DOID:3972	MONDO:equivalentTo	poorly differentiated thyroid carcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	poorly differentiated thyroid carcinoma
MONDO:0006382	poorly differentiated thyroid gland carcinoma	DOID:3972	MONDO:equivalentTo	poorly differentiated thyroid carcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	poorly differentiated thyroid gland carcinoma
MONDO:0006382	poorly differentiated thyroid gland carcinoma	DOID:3972	MONDO:equivalentTo	poorly differentiated thyroid carcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	poorly differentiated thyroid carcinoma
MONDO:0006382	poorly differentiated thyroid gland carcinoma	DOID:3972	MONDO:equivalentTo	poorly differentiated thyroid carcinoma	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	poorly differentiated thyroid gland carcinoma
MONDO:0006879	optic papillitis	DOID:146	MONDO:equivalentTo	papilledema	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	papilledema
MONDO:0006879	optic papillitis	DOID:146	MONDO:equivalentTo	papilledema	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	papilledema
MONDO:0008340	ptosis, hereditary congenital, 1	DOID:0060261	MONDO:equivalentTo	congenital ptosis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	congenital ptosis
MONDO:0008340	ptosis, hereditary congenital, 1	DOID:0060261	MONDO:equivalentTo	congenital ptosis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	congenital ptosis
MONDO:0009133	cerebellar ataxia, intellectual disability, and dysequilibrium	DOID:0070564	MONDO:equivalentTo	dialysis disequilibrium syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	dialysis dysequilibrium syndrome
MONDO:0009227	myofibromatosis, infantile, 1	DOID:0070666	MONDO:equivalentTo	infantile myofibromatosis 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:228550
MONDO:0009529	pyruvate dehydrogenase E3 deficiency	DOID:0061204	MONDO:equivalentTo	dihydrolipoamide dehydrogenase deficiency	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:246900
MONDO:0009669	spinal muscular atrophy, type 1	DOID:0060160	MONDO:equivalentTo	childhood spinal muscular atrophy	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	survival motor neuron spinal muscular atrophy
MONDO:0009682	muscular dystrophy, congenital, with rapid progression	DOID:0061202	MONDO:equivalentTo	congenital muscular dystrophy with rapid progression	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:254100
MONDO:0009917	pseudohypoaldosteronism, type IB1, autosomal recessive	DOID:0060854	MONDO:equivalentTo	autosomal recessive pseudohypoaldosteronism type 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:264350
MONDO:0010857	semantic dementia	DOID:0051060	MONDO:equivalentTo	frontotemporal dementia 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:600274
MONDO:0011422	autosomal recessive proximal renal tubular acidosis	DOID:0061195	MONDO:equivalentTo	proximal renal tubular acidosis-ocular anomaly syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:604278
MONDO:0011551	TH-deficient dopa-responsive dystonia	DOID:0051059	MONDO:equivalentTo	autosomal recessive Segawa syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:605407
MONDO:0012892	bone fragility with contractures, arterial rupture, and deafness	DOID:0061197	MONDO:equivalentTo	BCARD syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:612394
MONDO:0013021	sterile multifocal osteomyelitis with periostitis and pustulosis	DOID:0061225	MONDO:equivalentTo	interleukin-1 receptor antagonist deficiency	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:612852
MONDO:0013693	inflammatory skin and bowel disease, neonatal, 1	DOID:0061192	MONDO:equivalentTo	neonatal inflammatory skin and bowel disease 1	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:614328
MONDO:0014057	maple syrup urine disease, mild variant	DOID:0061205	MONDO:equivalentTo	mild variant of maple syrup urine disease	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:615135
MONDO:0014122	myofibromatosis, infantile, 2	DOID:0070667	MONDO:equivalentTo	infantile myofibromatosis 2	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:615293
MONDO:0014481	inflammatory skin and bowel disease, neonatal, 2	DOID:0061191	MONDO:equivalentTo	neonatal nephrocutaneous inflammatory syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	omim:616069
MONDO:0015436	ring chromosome 20	DOID:0070622	MONDO:equivalentTo	ring chromosome 20 syndrome	semapv:LexicalMatching	oaklib	0.9411764705882353	skos:exactMatch	skos:exactMatch	mesh:c580424
