subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0000078	acrocephalopolysyndactyly	ICD10CM:Q87.0	MONDO:equivalentTo	Congenital malformation syndromes predominantly affecting facial appearance	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	acrocephalopolysyndactyly
MONDO:0000129	glutaric aciduria	ICD10CM:E72.3	MONDO:equivalentTo	Disorders of lysine and hydroxylysine metabolism	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	glutaric aciduria
MONDO:0000129	glutaric aciduria	ICD10CM:E72.3	MONDO:equivalentTo	Disorders of lysine and hydroxylysine metabolism	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	glutaric aciduria
MONDO:0000153	transposition of the great arteries	ICD10CM:Q20.3	MONDO:equivalentTo	Discordant ventriculoarterial connection	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	transposition of great vessels
MONDO:0000156	trigonocephaly	ICD10CM:Q75.03	MONDO:equivalentTo	Metopic craniosynostosis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	trigonocephaly
MONDO:0000156	trigonocephaly	ICD10CM:Q75.03	MONDO:equivalentTo	Metopic craniosynostosis	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	trigonocephaly
MONDO:0000239	adiaspiromycosis	ICD10CM:B48.8	MONDO:equivalentTo	Other specified mycoses	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	adiaspiromycosis
MONDO:0000239	adiaspiromycosis	ICD10CM:B48.8	MONDO:equivalentTo	Other specified mycoses	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	adiaspiromycosis
MONDO:0000241	Keshan disease	ICD10CM:E59	MONDO:equivalentTo	Dietary selenium deficiency	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	keshan disorder
MONDO:0000265	aspiration pneumonia	ICD10CM:J69.0	MONDO:equivalentTo	Pneumonitis due to inhalation of food and vomit	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	aspiration pneumonia
MONDO:0000265	aspiration pneumonia	ICD10CM:J69.0	MONDO:equivalentTo	Pneumonitis due to inhalation of food and vomit	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	aspiration pneumonia
MONDO:0000293	coenurosis	ICD10CM:B71.8	MONDO:equivalentTo	Other specified cestode infections	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	coenurosis
MONDO:0000293	coenurosis	ICD10CM:B71.8	MONDO:equivalentTo	Other specified cestode infections	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	coenurosis
MONDO:0000295	acanthocephaliasis	ICD10CM:B83.8	MONDO:equivalentTo	Other specified helminthiases	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	acanthocephaliasis
MONDO:0000327	Buruli ulcer disease	ICD10CM:A31.1	MONDO:equivalentTo	Cutaneous mycobacterial infection	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	buruli ulcer
MONDO:0000432	lymphoplasmacytic lymphoma	ICD10CM:C83.0	MONDO:equivalentTo	Small cell B-cell lymphoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	lymphoplasmacytic lymphoma
MONDO:0000432	lymphoplasmacytic lymphoma	ICD10CM:C83.0	MONDO:equivalentTo	Small cell B-cell lymphoma	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	lymphoplasmacytic lymphoma
MONDO:0000497	pyometritis	ICD10CM:N71	MONDO:equivalentTo	Inflammatory disease of uterus, except cervix	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	pyometra
MONDO:0000600	nosophobia	ICD10CM:F45.22	MONDO:equivalentTo	Body dysmorphic disorder	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	nosophobia
MONDO:0000645	fallopian tube benign neoplasm	ICD10CM:D28.2	MONDO:equivalentTo	Benign neoplasm of uterine tubes and ligaments	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	benign neoplasm of fallopian tube
