subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0000503	lung adenocarcinoma in situ	NCIT:C8758	MONDO:equivalentTo	Stage 0 Lung Adenocarcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	lung adenocarcinoma in situ
MONDO:0000503	lung adenocarcinoma in situ	NCIT:C8758	MONDO:equivalentTo	Stage 0 Lung Adenocarcinoma AJCC v6 and v7	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	lung adenocarcinoma in situ
MONDO:0000873	lymphoblastic lymphoma	NCIT:C9124	MONDO:equivalentTo	Childhood Lymphoblastic Lymphoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	lymphoblastic lymphoma
MONDO:0000873	lymphoblastic lymphoma	NCIT:C9124	MONDO:equivalentTo	Childhood Lymphoblastic Lymphoma	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	lymphoblastic lymphoma
MONDO:0000873	lymphoblastic lymphoma	NCIT:C9361	MONDO:equivalentTo	Adult Lymphoblastic Lymphoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	lymphoblastic lymphoma
MONDO:0000873	lymphoblastic lymphoma	NCIT:C9361	MONDO:equivalentTo	Adult Lymphoblastic Lymphoma	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	lymphoblastic lymphoma
MONDO:0000874	T-cell childhood lymphoblastic lymphoma	NCIT:C7226	MONDO:equivalentTo	Adult T Lymphoblastic Lymphoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	t lymphoblastic lymphoma
MONDO:0000930	nodular malignant melanoma	NCIT:C205125	MONDO:equivalentTo	Nodular Melanoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	nodular melanoma
MONDO:0000930	nodular malignant melanoma	NCIT:C205125	MONDO:equivalentTo	Nodular Melanoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	nodular melanoma
MONDO:0000964	skin lipoma	NCIT:C5566	MONDO:equivalentTo	Skin Lipomatous Neoplasm	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	cutaneous lipomatous tumor
MONDO:0000992	heart conduction disease	NCIT:C78245	MONDO:equivalentTo	Cardiac Conduction Disorder	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	cardiac conduction disorder
MONDO:0000992	heart conduction disease	NCIT:C78245	MONDO:equivalentTo	Cardiac Conduction Disorder	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	disorder of cardiac conduction
MONDO:0000992	heart conduction disease	NCIT:C78245	MONDO:equivalentTo	Cardiac Conduction Disorder	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	cardiac conduction disorder
MONDO:0000992	heart conduction disease	NCIT:C78245	MONDO:equivalentTo	Cardiac Conduction Disorder	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	heart conduction disorder
MONDO:0001325	penile cancer	NCIT:C118820	MONDO:equivalentTo	Adult Penile Carcinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	penile cancer
