subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0007607	Birt-Hogg-Dube syndrome	OMIMPS:135150	MONDO:equivalentTo	Birt-Hogg-Dube syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	birt-hogg-dube syndrome
MONDO:0007709	hematuria, benign familial	OMIMPS:141200	MONDO:equivalentTo	Hematuria, benign familial	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	hematuria, benign familial
MONDO:0008116	oculopharyngeal muscular dystrophy	OMIMPS:164300	MONDO:equivalentTo	Oculopharyngeal muscular dystrophy	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	oculopharyngeal muscular dystrophy
MONDO:0009813	chronic recurrent multifocal osteomyelitis	OMIMPS:609628	MONDO:equivalentTo	Chronic recurrent multifocal osteomyelitis	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	chronic recurrent multifocal osteomyelitis
MONDO:0010204	lysosomal acid lipase deficiency	OMIMPS:278000	MONDO:equivalentTo	Lysosomal acid lipase deficiency	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	lysosomal acid lipase deficiency
MONDO:0011612	glycine encephalopathy	OMIMPS:605899	MONDO:equivalentTo	Glycine encephalopathy	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	glycine encephalopathy
MONDO:0012172	mitochondrial trifunctional protein deficiency	OMIMPS:609015	MONDO:equivalentTo	Mitochondrial trifunctional protein deficiency	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	mitochondrial trifunctional protein deficiency
MONDO:0013343	C1Q deficiency	OMIMPS:613652	MONDO:equivalentTo	C1q deficiency	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	c1q deficiency
MONDO:0018875	Li-Fraumeni syndrome	OMIMPS:151623	MONDO:equivalentTo	Li-Fraumeni syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	li-fraumeni syndrome
