subject_id	subject_label	object_id	predicate_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
ID		A oboInOwl:hasDbXref	>A oboInOwl:source							
MONDO:0000001	disease	Orphanet:557493	MONDO:equivalentTo	disorder	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	disorder
MONDO:0000023	infantile liver failure	Orphanet:464724	MONDO:equivalentTo	Fever-associated acute infantile liver failure syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	fever-associated acute infantile liver failure syndrome
MONDO:0000050	isolated congenital growth hormone deficiency	Orphanet:631	MONDO:equivalentTo	Non-acquired isolated growth hormone deficiency	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	congenital ighd
MONDO:0000050	isolated congenital growth hormone deficiency	Orphanet:631	MONDO:equivalentTo	Non-acquired isolated growth hormone deficiency	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	congenital isolated gh deficiency
MONDO:0000050	isolated congenital growth hormone deficiency	Orphanet:631	MONDO:equivalentTo	Non-acquired isolated growth hormone deficiency	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	congenital isolated growth hormone deficiency
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	Orphanet:2268	MONDO:equivalentTo	ICF syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO:0000133	immunodeficiency-centromeric instability-facial anomalies syndrome	Orphanet:2268	MONDO:equivalentTo	ICF syndrome	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	immunodeficiency-centromeric instability-facial anomalies syndrome
MONDO:0000170	microphthalmia, isolated, with coloboma	Orphanet:98938	MONDO:equivalentTo	Colobomatous microphthalmia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	microphthalmia with colobomatous cyst
MONDO:0000170	microphthalmia, isolated, with coloboma	Orphanet:98938	MONDO:equivalentTo	Colobomatous microphthalmia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	microphthalmia-anophthalmia-coloboma syndrome
MONDO:0000170	microphthalmia, isolated, with coloboma	Orphanet:98938	MONDO:equivalentTo	Colobomatous microphthalmia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	colobomatous microphthalmia
