term_id	exclusion_reason
ID	AI MONDOREL:has_exclusion_reason
icd11.foundation:1000034337	MONDO:excludeNonDisease
icd11.foundation:1000093173	MONDO:excludeNonDisease
icd11.foundation:1000136681	MONDO:excludeNonDisease
icd11.foundation:1000142683	MONDO:excludeNonDisease
icd11.foundation:1000158790	MONDO:excludeNonDisease
icd11.foundation:1000184792	MONDO:excludeNonDisease
icd11.foundation:1000217899	MONDO:excludeNonDisease
icd11.foundation:1000498055	MONDO:excludeNonDisease
icd11.foundation:1000590439	MONDO:excludeNonDisease
icd11.foundation:1000598828	MONDO:excludeNonDisease
icd11.foundation:1000635852	MONDO:excludeNonDisease
icd11.foundation:1000723999	MONDO:excludeNonDisease
icd11.foundation:1000725916	MONDO:excludeNonDisease
icd11.foundation:1000728679	MONDO:excludeNonDisease
icd11.foundation:1000771513	MONDO:excludeNonDisease
icd11.foundation:1000839118	MONDO:excludeNonDisease
icd11.foundation:1000848898	MONDO:excludeNonDisease
icd11.foundation:1000930055	MONDO:excludeNonDisease
icd11.foundation:1000964652	MONDO:excludeNonDisease
icd11.foundation:10010987	MONDO:excludeNonDisease
icd11.foundation:1001155574	MONDO:excludeNonDisease
icd11.foundation:1001180183	MONDO:excludeNonDisease
icd11.foundation:1001188833	MONDO:excludeNonDisease
icd11.foundation:1001199988	MONDO:excludeNonDisease
icd11.foundation:1001205472	MONDO:excludeNonDisease
icd11.foundation:1001215195	MONDO:excludeNonDisease
icd11.foundation:1001433912	MONDO:excludeNonDisease
icd11.foundation:1001597660	MONDO:excludeNonDisease
icd11.foundation:1001643069	MONDO:excludeNonDisease
icd11.foundation:1001801526	MONDO:excludeNonDisease
icd11.foundation:1002019615	MONDO:excludeNonDisease
icd11.foundation:1002094520	MONDO:excludeNonDisease
icd11.foundation:1002164513	MONDO:excludeNonDisease
icd11.foundation:1002175134	MONDO:excludeNonDisease
icd11.foundation:1002206661	MONDO:excludeNonDisease
icd11.foundation:1002246510	MONDO:excludeNonDisease
icd11.foundation:1002252474	MONDO:excludeNonDisease
icd11.foundation:1002311904	MONDO:excludeNonDisease
icd11.foundation:100238108	MONDO:excludeNonDisease
icd11.foundation:1002464511	MONDO:excludeNonDisease
icd11.foundation:100250175	MONDO:excludeNonDisease
icd11.foundation:1002638847	MONDO:excludeNonDisease
icd11.foundation:1002746852	MONDO:excludeNonDisease
icd11.foundation:1002865635	MONDO:excludeNonDisease
icd11.foundation:1002894383	MONDO:excludeNonDisease
icd11.foundation:1003127998	MONDO:excludeNonDisease
icd11.foundation:1003216657	MONDO:excludeNonDisease
icd11.foundation:1003261287	MONDO:excludeNonDisease
