subject_id	subject_label	is_mapped	is_excluded	is_deprecated
NCIT:C100054	Conjunctival Melanocytic Intraepithelial Lesion	False	False	False
NCIT:C101539	Stage I Differentiated Thyroid Gland Carcinoma Under 45 Years AJCC v7	False	False	False
NCIT:C101540	Stage I Differentiated Thyroid Gland Carcinoma 45 Years and Older AJCC v7	False	False	False
NCIT:C101541	Stage II Differentiated Thyroid Gland Carcinoma Under 45 Years AJCC v7	False	False	False
NCIT:C101542	Stage II Differentiated Thyroid Gland Carcinoma 45 Years and Older AJCC v7	False	False	False
NCIT:C102845	Stage 2A Neuroblastoma	False	False	False
NCIT:C102846	Stage 2B Neuroblastoma	False	False	False
NCIT:C102871	Primary Central Nervous System Neoplasm	False	False	False
NCIT:C102883	Miscellaneous Neoplasm	False	False	False
NCIT:C102884	Human Papillomavirus-Related Malignant Neoplasm in AIDS Patient	False	False	False
NCIT:C104030	Adrenal Cortical Carcinoma by ENSAT Stage	False	False	False
NCIT:C104031	ENSAT Stage I Adrenal Cortical Carcinoma	False	False	False
NCIT:C104032	ENSAT Stage II Adrenal Cortical Carcinoma	False	False	False
NCIT:C104033	ENSAT Stage III Adrenal Cortical Carcinoma	False	False	False
NCIT:C104034	ENSAT Stage IV Adrenal Cortical Carcinoma	False	False	False
NCIT:C105555	Ovarian High Grade Serous Adenocarcinoma	False	False	False
NCIT:C107671	Mucin-Depleted Foci of the Mouse Intestinal Tract	False	False	False
NCIT:C107672	Intramucosal Carcinoma of the Mouse Intestinal Tract	False	False	False
NCIT:C107673	Serrated Lesion of the Mouse Intestinal Tract	False	False	False
NCIT:C107674	Metastatic Carcinoma of the Mouse Intestinal Tract	False	False	False
NCIT:C111020	Uveal Class 1 Melanoma	False	False	False
NCIT:C111021	Uveal Class 2 Melanoma	False	False	False
NCIT:C111022	Uveal Class 1a Melanoma	False	False	False
NCIT:C111023	Uveal Class 1b Melanoma	False	False	False
NCIT:C111030	Uveal Melanoma by Gene Expression Profile	False	False	False
NCIT:C111691	Glioblastoma by Gene Expression Profile	False	False	False
NCIT:C112006	Thymoma by Masaoka-Koga Stage	False	False	False
NCIT:C112007	Masaoka-Koga Stage I	False	False	False
NCIT:C112008	Masaoka-Koga Stage IIa	False	False	False
NCIT:C112009	Masaoka-Koga Stage IIb	False	False	False
NCIT:C112010	Masaoka-Koga Stage III	False	False	False
NCIT:C112011	Masaoka-Koga Stage IVa	False	False	False
NCIT:C112012	Masaoka-Koga Stage IVb	False	False	False
NCIT:C113238	Uterine Malignant Mixed Mesodermal (Mullerian) Tumor, Homologous Type	False	False	False
NCIT:C113239	Uterine Malignant Mixed Mesodermal (Mullerian) Tumor, Heterologous Type	False	False	False
NCIT:C113664	Main Duct Pancreatic Intraductal Papillary-Mucinous Neoplasm	False	False	False
NCIT:C113665	Branch Duct Pancreatic Intraductal Papillary-Mucinous Neoplasm	False	False	False
NCIT:C113667	Mixed Type Pancreatic Intraductal Papillary-Mucinous Neoplasm	False	False	False
NCIT:C114560	Childhood L1 Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114562	Childhood L2 Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114574	Adult Non-T Non-B Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114576	Childhood Non-T Non-B Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114579	Non-T Non-B CALLA Negative Childhood Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114580	Non-T Non-B CALLA Negative Adult Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114581	Adult L2 Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114593	Adult TdT Positive Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114594	Childhood TdT Positive Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114595	Adult TdT Negative Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114596	Childhood TdT Negative Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114598	Mixed Osteosarcoma	False	False	False
NCIT:C114599	Adult Pre-B Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114600	Childhood Pre-B Acute Lymphoblastic Leukemia	False	False	False
NCIT:C114749	Childhood Undifferentiated Pleomorphic Sarcoma	False	False	False
