mondo_id	mondo_label	source_id	source_label	synonym_scope	synonym	synonym_type
MONDO:0000070	Mycobacterium tuberculosis, susceptibility	OMIM:607948	mycobacterium tuberculosis, susceptibility to	oio:hasExactSynonym	Mycobacterium tuberculosis, susceptibility to	
MONDO:0000141	mosaic variegated aneuploidy syndrome	OMIM:257300	mosaic variegated aneuploidy syndrome 1	oio:hasExactSynonym	Mosaic variegated aneuploidy syndrome 1	
MONDO:0000141	mosaic variegated aneuploidy syndrome	OMIM:257300	mosaic variegated aneuploidy syndrome 1	oio:hasExactSynonym	MVA1	MONDO:ABBREVIATION
MONDO:0000170	microphthalmia, isolated, with coloboma	OMIM:251505	microphthalmia/coloboma 4	oio:hasExactSynonym	microphthalmia with colobomatous cyst	
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	OMIM:236670	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 1	oio:hasExactSynonym	cerebroocular dysplasia-muscular dystrophy syndrome	
MONDO:0000171	muscular dystrophy-dystroglycanopathy, type A	OMIM:236670	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 1	oio:hasExactSynonym	hard syndrome	
MONDO:0000200	Zimmermann-Laband syndrome	OMIM:135500	zimmermann-laband syndrome 1	oio:hasExactSynonym	Laband syndrome	
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	OMIM:616033	microcephaly, short stature, and impaired glucose metabolism 1	oio:hasExactSynonym	MSSGM1	MONDO:ABBREVIATION
MONDO:0000208	microcephaly, short stature, and impaired glucose metabolism 1	OMIM:616033	microcephaly, short stature, and impaired glucose metabolism 1	oio:hasExactSynonym	microcephaly, short stature, and impaired glucose metabolism 1	MONDO:CLINGEN_LABEL
MONDO:0000212	hypercalcemia, infantile	OMIM:143880	hypercalcemia, infantile, 1	oio:hasExactSynonym	hypercalcemia, idiopathic, of infancy	MONDO:DEPRECATED
MONDO:0000355	Ullrich congenital muscular dystrophy	OMIM:254090	ullrich congenital muscular dystrophy 1a	oio:hasExactSynonym	Ullrich scleroatonic muscular dystrophy	
MONDO:0000359	spondylocostal dysostosis	OMIM:122600	spondylocostal dysostosis 5	oio:hasExactSynonym	Spondylocostal Dysplasia	
MONDO:0000359	spondylocostal dysostosis	OMIM:122600	spondylocostal dysostosis 5	oio:hasExactSynonym	spondylocostal dysplasia	
