mondo_id	source_id	source
ID	ID	A oboInOwl:source
MONDO:0000911	OMIM:613740	MONDO:equivalentObsolete
MONDO:0007061	OMIM:102590	MONDO:equivalentObsolete
MONDO:0007418	OMIM:124400	MONDO:equivalentObsolete
MONDO:0007602	OMIM:134700	MONDO:equivalentObsolete
MONDO:0007617	OMIM:609943	MONDO:equivalentObsolete
MONDO:0007617	OMIM:614562	MONDO:equivalentObsolete
MONDO:0007659	OMIM:137560	MONDO:equivalentObsolete
MONDO:0007779	OMIM:145410	MONDO:equivalentObsolete
MONDO:0007801	OMIM:146400	MONDO:equivalentObsolete
MONDO:0007818	OMIM:146840	MONDO:equivalentObsolete
MONDO:0007903	OMIM:609266	MONDO:equivalentObsolete
MONDO:0008074	OMIM:162020	MONDO:equivalentObsolete
MONDO:0008091	OMIM:162820	MONDO:equivalentObsolete
MONDO:0008126	OMIM:164891	MONDO:equivalentObsolete
MONDO:0008204	OMIM:168850	MONDO:equivalentObsolete
MONDO:0008289	OMIM:607595	MONDO:equivalentObsolete
MONDO:0008415	OMIM:181515	MONDO:equivalentObsolete
MONDO:0008490	OMIM:277610	MONDO:equivalentObsolete
MONDO:0008523	OMIM:609464	MONDO:equivalentObsolete
MONDO:0008774	OMIM:245130	MONDO:equivalentObsolete
MONDO:0008885	OMIM:603463	MONDO:equivalentObsolete
MONDO:0009194	OMIM:614894	MONDO:equivalentObsolete
MONDO:0009302	OMIM:233430	MONDO:equivalentObsolete
MONDO:0009307	OMIM:233670	MONDO:equivalentObsolete
MONDO:0009535	OMIM:247440	MONDO:equivalentObsolete
MONDO:0009679	OMIM:253900	MONDO:equivalentObsolete
MONDO:0010045	OMIM:270710	MONDO:equivalentObsolete
MONDO:0010205	OMIM:278100	MONDO:equivalentObsolete
MONDO:0010258	OMIM:300987	MONDO:equivalentObsolete
MONDO:0010291	OMIM:300274	MONDO:equivalentObsolete
MONDO:0010295	OMIM:300301	MONDO:equivalentObsolete
MONDO:0010327	OMIM:300220	MONDO:equivalentObsolete
MONDO:0010346	OMIM:300504	MONDO:equivalentObsolete
MONDO:0010357	OMIM:300551	MONDO:equivalentObsolete
MONDO:0010368	OMIM:300584	MONDO:equivalentObsolete
MONDO:0010387	OMIM:300640	MONDO:equivalentObsolete
MONDO:0010394	OMIM:300660	MONDO:equivalentObsolete
MONDO:0010470	OMIM:300881	MONDO:equivalentObsolete
MONDO:0010527	OMIM:301590	MONDO:equivalentObsolete
MONDO:0010600	OMIM:138990	MONDO:equivalentObsolete
MONDO:0010601	OMIM:306500	MONDO:equivalentObsolete
MONDO:0010666	OMIM:309605	MONDO:equivalentObsolete
MONDO:0010720	OMIM:307300	MONDO:equivalentObsolete
MONDO:0010720	OMIM:312100	MONDO:equivalentObsolete
MONDO:0010804	OMIM:600048	MONDO:equivalentObsolete
MONDO:0010911	OMIM:600634	MONDO:equivalentObsolete
MONDO:0010936	OMIM:614696	MONDO:equivalentObsolete
MONDO:0010957	OMIM:600908	MONDO:equivalentObsolete
MONDO:0011111	OMIM:601563	MONDO:equivalentObsolete
MONDO:0011362	OMIM:607569	MONDO:equivalentObsolete
MONDO:0011401	OMIM:611155	MONDO:equivalentObsolete
MONDO:0011543	OMIM:605365	MONDO:equivalentObsolete
MONDO:0011806	OMIM:609143	MONDO:equivalentObsolete
MONDO:0011835	OMIM:613832	MONDO:equivalentObsolete
MONDO:0011910	OMIM:607801	MONDO:equivalentObsolete
MONDO:0011939	OMIM:271550	MONDO:equivalentObsolete
MONDO:0012017	OMIM:608355	MONDO:equivalentObsolete
MONDO:0012215	OMIM:159000	MONDO:equivalentObsolete
MONDO:0012247	OMIM:609307	MONDO:equivalentObsolete
MONDO:0012461	OMIM:610269	MONDO:equivalentObsolete
MONDO:0012560	OMIM:610799	MONDO:equivalentObsolete
MONDO:0012853	OMIM:233500	MONDO:equivalentObsolete
MONDO:0012878	OMIM:612359	MONDO:equivalentObsolete
MONDO:0013476	OMIM:613875	MONDO:equivalentObsolete
MONDO:0013596	OMIM:614157	MONDO:equivalentObsolete
MONDO:0013617	OMIM:614192	MONDO:equivalentObsolete
MONDO:0013701	OMIM:614339	MONDO:equivalentObsolete
MONDO:0013736	OMIM:614408	MONDO:equivalentObsolete
MONDO:0013753	OMIM:608591	MONDO:equivalentObsolete
MONDO:0014045	OMIM:615106	MONDO:equivalentObsolete
MONDO:0014089	OMIM:616964	MONDO:equivalentObsolete
MONDO:0014243	OMIM:208080	MONDO:equivalentObsolete
MONDO:0014353	OMIM:216920	MONDO:equivalentObsolete
