subject_mondo_id	subject_mondo_label	object_mondo_id	subject_source_id	object_source_id	object_mondo_label
ID		AI obo:mondo#excluded_subClassOf	>A oboInOwl:source		
MONDO:0000001	disease	MONDO:8000034	Orphanet:377788	Orphanet:557493	obsolete disorder
MONDO:0008347	obsolete idiopathic and/or familial pulmonary arterial hypertension	MONDO:0000001	Orphanet:422	Orphanet:377788	disease
MONDO:0010330	obsolete primary ciliary dyskinesia-retinitis pigmentosa syndrome	MONDO:0000001	Orphanet:247522	Orphanet:377788	disease
MONDO:0011794	obsolete Dravet syndrome	MONDO:0000001	Orphanet:33069	Orphanet:377788	disease
MONDO:0013742	obsolete familial mesial temporal lobe epilepsy with febrile seizures	MONDO:0000001	Orphanet:165805	Orphanet:377788	disease
MONDO:0014753	obsolete autosomal recessive optic atrophy	MONDO:0000001	Orphanet:98676	Orphanet:377788	disease
MONDO:0015108	obsolete rare non-syndromic intellectual disability	MONDO:0000001	Orphanet:101685	Orphanet:377788	disease
MONDO:0015305	obsolete rare endometriosis	MONDO:0000001	Orphanet:137820	Orphanet:377788	disease
MONDO:0015470	obsolete familial isolated dilated cardiomyopathy	MONDO:0000001	Orphanet:154	Orphanet:377788	disease
MONDO:0015586	obsolete benign familial mesial temporal lobe epilepsy	MONDO:0000001	Orphanet:163717	Orphanet:377788	disease
MONDO:0015975	obsolete hyper-IgM syndrome with susceptibility to opportunistic infections	MONDO:0000001	Orphanet:183663	Orphanet:377788	disease
MONDO:0015976	obsolete hyper-IgM syndrome without susceptibility to opportunistic infections	MONDO:0000001	Orphanet:183666	Orphanet:377788	disease
MONDO:0016250	obsolete rare adenocarcinoma of the breast	MONDO:0000001	Orphanet:213528	Orphanet:377788	disease
MONDO:0016254	obsolete rare variants of adenocarcinoma of the corpus uteri	MONDO:0000001	Orphanet:213574	Orphanet:377788	disease
MONDO:0016352	obsolete idiopathic inherited hypercalciuria	MONDO:0000001	Orphanet:2197	Orphanet:377788	disease
MONDO:0016536	obsolete autosomal recessive lymphoproliferative disease	MONDO:0000001	Orphanet:238505	Orphanet:377788	disease
MONDO:0016579	obsolete dominant hypophosphatemia with nephrolithiasis or osteoporosis	MONDO:0000001	Orphanet:244305	Orphanet:377788	disease
MONDO:0016589	obsolete progressive cerebello-cerebral atrophy	MONDO:0000001	Orphanet:247198	Orphanet:377788	disease
MONDO:0016599	obsolete autosomal dominant secondary polycythemia	MONDO:0000001	Orphanet:247511	Orphanet:377788	disease
MONDO:0016665	obsolete unclassified vasculitis	MONDO:0000001	Orphanet:251328	Orphanet:377788	disease
MONDO:0016815	obsolete Leigh syndrome with leukodystrophy	MONDO:0000001	Orphanet:255241	Orphanet:377788	disease
MONDO:0016816	obsolete Leigh syndrome with nephrotic syndrome	MONDO:0000001	Orphanet:255249	Orphanet:377788	disease
MONDO:0017057	obsolete hereditary thrombocytopenia with normal platelets	MONDO:0000001	Orphanet:268322	Orphanet:377788	disease
MONDO:0017173	obsolete non-syndromic male infertility due to sperm motility disorder	MONDO:0000001	Orphanet:276234	Orphanet:377788	disease
MONDO:0017240	obsolete acrodysostosis with multiple hormone resistance	MONDO:0000001	Orphanet:280651	Orphanet:377788	disease
MONDO:0017241	obsolete AP4-related intellectual disability and spastic paraplegia	MONDO:0000001	Orphanet:280763	Orphanet:377788	disease
MONDO:0017333	obsolete hypomyelinating leukodystrophy with or without oligondontia and/or hypogonadism	MONDO:0000001	Orphanet:289494	Orphanet:377788	disease
MONDO:0017581	obsolete familial infantile gigantism	MONDO:0000001	Orphanet:300373	Orphanet:377788	disease
MONDO:0017629	obsolete sodium channelopathy-related small fiber neuropathy	MONDO:0000001	Orphanet:306577	Orphanet:377788	disease
MONDO:0018222	obsolete X-linked intellectual disability due to GRIA3 anomalies	MONDO:0000001	Orphanet:364028	Orphanet:377788	disease
MONDO:0018277	obsolete congenital muscular dystrophy with cerebellar involvement	MONDO:0000001	Orphanet:370959	Orphanet:377788	disease
MONDO:0018279	obsolete congenital muscular dystrophy without intellectual disability	MONDO:0000001	Orphanet:370980	Orphanet:377788	disease
MONDO:0018337	obsolete severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency	MONDO:0000001	Orphanet:397593	Orphanet:377788	disease
MONDO:0018340	obsolete hereditary isolated aplastic anemia	MONDO:0000001	Orphanet:397692	Orphanet:377788	disease
MONDO:0018344	obsolete periodic paralysis with transient compartment-like syndrome	MONDO:0000001	Orphanet:397755	Orphanet:377788	disease
MONDO:0018393	obsolete male infertility with azoospermia or oligozoospermia due to single gene mutation	MONDO:0000001	Orphanet:399805	Orphanet:377788	disease
MONDO:0018532	obsolete adenocarcinoma of liver and intrahepatic biliary tract	MONDO:0000001	Orphanet:424943	Orphanet:377788	disease
MONDO:0018574	obsolete intellectual disability-expressive aphasia-facial dysmorphism syndrome	MONDO:0000001	Orphanet:436151	Orphanet:377788	disease
