mondo_id	source_id	source
ID	ID	A oboInOwl:source
MONDO:0000229	Orphanet:101335	MONDO:equivalentObsolete
MONDO:0000481	Orphanet:93962	MONDO:equivalentObsolete
MONDO:0000485	Orphanet:93961	MONDO:equivalentObsolete
MONDO:0000499	Orphanet:415300	MONDO:equivalentObsolete
MONDO:0000704	Orphanet:65279	MONDO:equivalentObsolete
MONDO:0000724	Orphanet:458713	MONDO:equivalentObsolete
MONDO:0000816	Orphanet:411969	MONDO:equivalentObsolete
MONDO:0000820	Orphanet:164	MONDO:equivalentObsolete
MONDO:0001071	Orphanet:319658	MONDO:equivalentObsolete
MONDO:0001134	Orphanet:243761	MONDO:equivalentObsolete
MONDO:0001147	Orphanet:93968	MONDO:equivalentObsolete
MONDO:0001153	Orphanet:459690	MONDO:equivalentObsolete
MONDO:0001187	Orphanet:157980	MONDO:equivalentObsolete
MONDO:0001341	Orphanet:69127	MONDO:equivalentObsolete
MONDO:0001807	Orphanet:79211	MONDO:equivalentObsolete
MONDO:0002070	Orphanet:1480	MONDO:equivalentObsolete
MONDO:0002235	Orphanet:98580	MONDO:equivalentObsolete
MONDO:0002305	Orphanet:64738	MONDO:equivalentObsolete
MONDO:0002470	Orphanet:453	MONDO:equivalentObsolete
MONDO:0003233	Orphanet:862	MONDO:equivalentObsolete
MONDO:0003924	Orphanet:99888	MONDO:equivalentObsolete
MONDO:0004277	Orphanet:100642	MONDO:equivalentObsolete
MONDO:0004975	Orphanet:238616	MONDO:equivalentObsolete
MONDO:0005011	Orphanet:206	MONDO:equivalentObsolete
MONDO:0005036	Orphanet:464463	MONDO:equivalentObsolete
MONDO:0005061	Orphanet:415268	MONDO:equivalentObsolete
MONDO:0005090	Orphanet:3140	MONDO:equivalentObsolete
MONDO:0005101	Orphanet:771	MONDO:equivalentObsolete
MONDO:0005105	Orphanet:411533	MONDO:equivalentObsolete
MONDO:0005130	Orphanet:555	MONDO:equivalentObsolete
MONDO:0005147	Orphanet:243377	MONDO:equivalentObsolete
MONDO:0005150	Orphanet:279	MONDO:equivalentObsolete
MONDO:0005180	Orphanet:319705	MONDO:equivalentObsolete
MONDO:0005233	Orphanet:488201	MONDO:equivalentObsolete
MONDO:0005258	Orphanet:106	MONDO:equivalentObsolete
MONDO:0005259	Orphanet:1162	MONDO:equivalentObsolete
MONDO:0005301	Orphanet:802	MONDO:equivalentObsolete
MONDO:0005306	Orphanet:825	MONDO:equivalentObsolete
MONDO:0005342	Orphanet:34145	MONDO:equivalentObsolete
MONDO:0005345	Orphanet:440	MONDO:equivalentObsolete
MONDO:0005349	Orphanet:2794	MONDO:equivalentObsolete
MONDO:0005351	Orphanet:36297	MONDO:equivalentObsolete
MONDO:0005361	Orphanet:73247	MONDO:equivalentObsolete
MONDO:0005382	Orphanet:280110	MONDO:equivalentObsolete
