mondo_id	mondo_label	synonym_scope_source	synonym_scope_mondo	synonym	synonym_case_mondo	synonym_case_diff_mondo	synonym_case_mondo_is_many	synonym_case_source	synonym_case_diff_source	synonym_case_source_is_many	source_id	source_label	synonym_type	synonym_type_mondo	mondo_evidence	case	exact_synonym	exact_source_id	exact_synonym_type	broad_synonym	broad_source_id	broad_synonym_type	narrow_synonym	narrow_source_id	narrow_synonym_type	related_synonym	related_source_id	related_synonym_type
ID																	A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasBroadSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasNarrowSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|	A oboInOwl:hasRelatedSynonym	>A oboInOwl:hasDbXref	>AI oboInOwl:hasSynonymType SPLIT=|
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenal gland insufficiency	adrenal gland insufficiency		False	adrenal gland insufficiency		False	icd11.foundation:733056203	Adrenocortical insufficiency					adrenal gland insufficiency	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenal insufficiency	adrenal insufficiency		False	adrenal insufficiency		False	icd11.foundation:733056203	Adrenocortical insufficiency					adrenal insufficiency	icd11.foundation:733056203										
MONDO:0000004	adrenocortical insufficiency	oio:hasExactSynonym		adrenocortical insufficiency	adrenocortical insufficiency	adrenocortical insufficiency	False	Adrenocortical insufficiency	Adrenocortical insufficiency	False	icd11.foundation:733056203	Adrenocortical insufficiency					adrenocortical insufficiency	icd11.foundation:733056203										
MONDO:0000153	transposition of the great arteries	oio:hasExactSynonym		great vessels transposition	great vessels transposition		False	great vessels transposition		False	icd11.foundation:429190257	Transposition of the great arteries					great vessels transposition	icd11.foundation:429190257										
MONDO:0000156	trigonocephaly	oio:hasExactSynonym		trigonocephaly	trigonocephaly	trigonocephaly	False	Trigonocephaly	Trigonocephaly	False	icd11.foundation:20816218	Trigonocephaly					trigonocephaly	icd11.foundation:20816218										
MONDO:0000190	ventricular fibrillation	oio:hasExactSynonym		ventricular fibrillation	ventricular fibrillation	ventricular fibrillation	False	Ventricular fibrillation	Ventricular fibrillation	False	icd11.foundation:1662472992	Ventricular fibrillation					ventricular fibrillation	icd11.foundation:1662472992										
MONDO:0000293	coenurosis	oio:hasExactSynonym		coenuriasis	coenuriasis		False	coenuriasis		False	icd11.foundation:1545561495	Coenurosis					coenuriasis	icd11.foundation:1545561495										
MONDO:0000293	coenurosis	oio:hasExactSynonym		coenurosis	coenurosis	coenurosis	False	Coenurosis	Coenurosis	False	icd11.foundation:1545561495	Coenurosis					coenurosis	icd11.foundation:1545561495										
MONDO:0000299	thelaziasis	oio:hasExactSynonym		infection by Thelazia	infection by Thelazia	infection by Thelazia	False	infection by thelazia	infection by thelazia	False	icd11.foundation:1803398353	Thelaziasis					infection by Thelazia	icd11.foundation:1803398353										
MONDO:0000299	thelaziasis	oio:hasExactSynonym		thelaziasis	thelaziasis	thelaziasis	False	Thelaziasis	Thelaziasis	False	icd11.foundation:1803398353	Thelaziasis					thelaziasis	icd11.foundation:1803398353										
