subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0002109	pituitary cancer	skos:broadMatch	NCIT:C45922	Pituitary Gland Neoplasm (Antiquated)	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	pituitary gland neoplasm	LEXMATCH
MONDO:0002214	brain germinoma	skos:broadMatch	NCIT:C5430	Intracranial Germinoma	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	intracranial germinoma	LEXMATCH
MONDO:0002685	childhood choroid plexus carcinoma	skos:broadMatch	NCIT:C42080	Childhood Choroid Plexus Neoplasm	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	childhood choroid plexus neoplasm	LEXMATCH
MONDO:0002912	brainstem cancer	skos:broadMatch	NCIT:C4975	Primary Brain Stem Neoplasm	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	primary brain stem neoplasm	LEXMATCH
MONDO:0003751	childhood germ cell tumor	skos:broadMatch	NCIT:C62279	Germ Cell Tumor (Antiquated)	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	germ cell tumor	LEXMATCH
MONDO:0004355	childhood leukemia	skos:broadMatch	NCIT:C27356	Leukemia (Antiquated)	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	leukemia	LEXMATCH
MONDO:0005872	nervous system cancer	skos:broadMatch	NCIT:C66818	Nervous System Neoplasm (Antiquated)	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	nervous system neoplasm	LEXMATCH
MONDO:0009264	gastroschisis	skos:broadMatch	NCIT:C185902	Eventration	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	eventration	LEXMATCH
MONDO:0009349	holoprosencephaly 1	skos:broadMatch	NCIT:C124522	Cyclopia	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	cyclopia	LEXMATCH
MONDO:0010576	X-linked mixed hearing loss with perilymphatic gusher	skos:broadMatch	NCIT:C26973	Sensory Hearing Loss	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	sensory hearing loss	LEXMATCH
MONDO:0010576	X-linked mixed hearing loss with perilymphatic gusher	skos:broadMatch	NCIT:C34663	High Frequency Hearing Loss	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	high frequency hearing loss	LEXMATCH
MONDO:0018453	familial atypical multiple mole melanoma syndrome	skos:broadMatch	NCIT:C176904	Melanoma-Pancreatic Cancer Syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	melanoma-pancreatic cancer syndrome	LEXMATCH
MONDO:0019015	omphalocele	skos:broadMatch	NCIT:C185902	Eventration	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	eventration	LEXMATCH
MONDO:0044878	adult germ cell tumor	skos:broadMatch	NCIT:C62279	Germ Cell Tumor (Antiquated)	semapv:LexicalMatching	oaklib	0.8	oio:hasBroadSynonym	rdfs:label	germ cell tumor	LEXMATCH
MONDO:0700079	hormone receptor-positive breast cancer	skos:broadMatch	NCIT:C157056	Hormone Receptor-Positive Breast Carcinoma	semapv:UnspecifiedMatching						MONDO_MAPPINGS
