subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
ICD10CM:A07.3	Isosporiasis	skos:exactMatch	MONDO:0018769	isosporiasis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Isosporosis	LEXMATCH
ICD10CM:A19	Miliary tuberculosis	skos:exactMatch	MONDO:0005848	miliary tuberculosis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	disseminated tuberculosis	LEXMATCH
ICD10CM:A19	Miliary tuberculosis	skos:exactMatch	MONDO:0005848	miliary tuberculosis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	generalized tuberculosis	LEXMATCH
ICD10CM:A23	Brucellosis	skos:exactMatch	MONDO:0005683	brucellosis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	undulant fever	LEXMATCH
ICD10CM:A24.9	Melioidosis, unspecified	skos:exactMatch	MONDO:0017775	melioidosis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Whitmore's disease	LEXMATCH
ICD10CM:A25.1	Streptobacillosis	skos:exactMatch	MONDO:0006941	rat-bite fever	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	Streptobacillosis	LEXMATCH
ICD10CM:A25.1	Streptobacillosis	skos:exactMatch	MONDO:0020533	streptobacillary rat-bite fever	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Haverhill fever	LEXMATCH
ICD10CM:A27.0	Leptospirosis icterohemorrhagica	skos:exactMatch	MONDO:0043004	Weil's disease	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Weil's disease	LEXMATCH
ICD10CM:A27.0	Leptospirosis icterohemorrhagica	skos:exactMatch	MONDO:0043004	Weil's disease	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	Weil's disease	LEXMATCH
ICD10CM:A28.1	Cat-scratch disease	skos:exactMatch	MONDO:0005692	cat-scratch disease	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Cat-scratch fever	LEXMATCH
ICD10CM:A31.1	Cutaneous mycobacterial infection	skos:exactMatch	MONDO:0000327	Buruli ulcer disease	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Buruli ulcer	LEXMATCH
ICD10CM:A38	Scarlet fever	skos:exactMatch	MONDO:0005952	scarlet fever	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	scarlatina	LEXMATCH
ICD10CM:A39.1	Waterhouse-Friderichsen syndrome	skos:exactMatch	MONDO:0006015	Waterhouse-Friderichsen syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	Waterhouse-Friderichsen syndrome	LEXMATCH
ICD10CM:A44.0	Systemic bartonellosis	skos:exactMatch	MONDO:0018984	Oroya fever	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Oroya fever	LEXMATCH
ICD10CM:A44.0	Systemic bartonellosis	skos:exactMatch	MONDO:0018984	Oroya fever	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	Oroya fever	LEXMATCH
ICD10CM:A48.1	Legionnaires' disease	skos:exactMatch	MONDO:0005824	Legionnaires' disease	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	Legionnaires' disease	LEXMATCH
ICD10CM:A55	Chlamydial lymphogranuloma (venereum)	skos:exactMatch	MONDO:0005834	lymphogranuloma venereum	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Durand-Nicolas-Favre disease	LEXMATCH
ICD10CM:A59.09	Other urogenital trichomoniasis	skos:exactMatch	MONDO:0030708	Trichomonas cervicitis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Trichomonas cervicitis	LEXMATCH
ICD10CM:A59.09	Other urogenital trichomoniasis	skos:exactMatch	MONDO:0030708	Trichomonas cervicitis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	Trichomonas cervicitis	LEXMATCH
ICD10CM:A65	Nonvenereal syphilis	skos:exactMatch	MONDO:0001714	bejel	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Njovera	LEXMATCH
ICD10CM:A69.1	Other Vincent's infections	skos:exactMatch	MONDO:0006865	necrotizing ulcerative gingivitis	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Vincent's angina	LEXMATCH
ICD10CM:A69.2	Lyme disease	skos:exactMatch	MONDO:0019632	Lyme disease	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	Lyme disease	LEXMATCH
ICD10CM:A69.2	Lyme disease	skos:exactMatch	MONDO:0019632	Lyme disease	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	Lyme disease	LEXMATCH
ICD10CM:A71	Trachoma	skos:exactMatch	MONDO:0005808	inclusion conjunctivitis	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	Trachoma	LEXMATCH
ICD10CM:A74.0	Chlamydial conjunctivitis	skos:exactMatch	MONDO:0005808	inclusion conjunctivitis	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	Chlamydial conjunctivitis	LEXMATCH
ICD10CM:A75.1	Recrudescent typhus [Brill's disease]	skos:exactMatch	MONDO:0005680	Brill-Zinsser disease	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	Brill-Zinsser disease	LEXMATCH
ICD10CM:A77.1	Spotted fever due to Rickettsia conorii	skos:exactMatch	MONDO:0024472	boutonneuse fever	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	Mediterranean tick fever	LEXMATCH
