stanza	subject	predicate	object	value	datatype	language
MONDO:0000087	MONDO:0000087	skos:narrowMatch	<https://icd.codes/icd10cm/Q04.3>			
MONDO:0000088	MONDO:0000088	skos:exactMatch	<https://icd.codes/icd10cm/E30.1>			
MONDO:0000088	MONDO:0000088	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E30.1>			
MONDO:0000107	MONDO:0000107	skos:narrowMatch	<https://icd.codes/icd10cm/Q75.8>			
MONDO:0000110	MONDO:0000110	skos:narrowMatch	<https://icd.codes/icd10cm/Q30.2>			
MONDO:0000127	MONDO:0000127	skos:narrowMatch	<https://icd.codes/icd10cm/Q87.1>			
MONDO:0000133	MONDO:0000133	skos:narrowMatch	<https://icd.codes/icd10cm/D84.8>			
MONDO:0000136	MONDO:0000136	skos:narrowMatch	<https://icd.codes/icd10cm/Q82.8>			
MONDO:0000141	MONDO:0000141	skos:narrowMatch	<https://icd.codes/icd10cm/Q99.8>			
MONDO:0000153	MONDO:0000153	skos:broadMatch	<https://icd.codes/icd10cm/Q20.5>			
MONDO:0000153	MONDO:0000153	skos:broadMatch	<https://icd.codes/icd10cm/Q20.3>			
MONDO:0000153	MONDO:0000153	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/Q20.5>			
MONDO:0000153	MONDO:0000153	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/Q20.3>			
MONDO:0000170	MONDO:0000170	skos:narrowMatch	<https://icd.codes/icd10cm/Q11.2>			
MONDO:0000171	MONDO:0000171	skos:narrowMatch	<https://icd.codes/icd10cm/Q04.3>			
MONDO:0000179	MONDO:0000179	skos:narrowMatch	<https://icd.codes/icd10cm/Q87.8>			
MONDO:0000193	MONDO:0000193	skos:narrowMatch	<https://icd.codes/icd10cm/E25.8>			
MONDO:0000200	MONDO:0000200	skos:narrowMatch	<https://icd.codes/icd10cm/Q87.8>			
MONDO:0000212	MONDO:0000212	skos:narrowMatch	<https://icd.codes/icd10cm/E83.5>			
MONDO:0000226	MONDO:0000226	skos:exactMatch	<https://icd.codes/icd10cm/E83>			
MONDO:0000226	MONDO:0000226	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E83>			
MONDO:0000237	MONDO:0000237	skos:exactMatch	<https://icd.codes/icd10cm/A26>			
MONDO:0000237	MONDO:0000237	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A26>			
MONDO:0000245	MONDO:0000245	skos:exactMatch	<https://icd.codes/icd10cm/B35.5>			
MONDO:0000245	MONDO:0000245	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B35.5>			
MONDO:0000261	MONDO:0000261	skos:exactMatch	<https://icd.codes/icd10cm/J35.02>			
MONDO:0000261	MONDO:0000261	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J35.02>			
MONDO:0000309	MONDO:0000309	skos:exactMatch	<https://icd.codes/icd10cm/H52.32>			
MONDO:0000309	MONDO:0000309	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H52.32>			
MONDO:0000342	MONDO:0000342	skos:exactMatch	<https://icd.codes/icd10cm/A92.1>			
MONDO:0000342	MONDO:0000342	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A92.1>			
MONDO:0000355	MONDO:0000355	skos:narrowMatch	<https://icd.codes/icd10cm/G71.2>			
MONDO:0000367	MONDO:0000367	skos:exactMatch	<https://icd.codes/icd10cm/B68>			
MONDO:0000367	MONDO:0000367	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B68>			
MONDO:0000430	MONDO:0000430	skos:exactMatch	<https://icd.codes/icd10cm/C84.4>			
MONDO:0000430	MONDO:0000430	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C84.4>			
MONDO:0000447	MONDO:0000447	skos:exactMatch	<https://icd.codes/icd10cm/Q44.6>			
MONDO:0000447	MONDO:0000447	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/Q44.6>			
MONDO:0000453	MONDO:0000453	skos:narrowMatch	<https://icd.codes/icd10cm/I49.8>			
MONDO:0000456	MONDO:0000456	skos:narrowMatch	<https://icd.codes/icd10cm/E72.8>			
MONDO:0000462	MONDO:0000462	skos:exactMatch	<http://apps.who.int/classifications/icd10/browse/2010/en#/H00-H06>			
MONDO:0000463	MONDO:0000463	skos:narrowMatch	<https://icd.codes/icd10cm/N31.8>			
MONDO:0000507	MONDO:0000507	skos:narrowMatch	<https://icd.codes/icd10cm/G71.8>			
MONDO:0000598	MONDO:0000598	skos:exactMatch	<https://icd.codes/icd10cm/R47.01>			
MONDO:0000598	MONDO:0000598	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/R47.01>			
MONDO:0000645	MONDO:0000645	skos:narrowMatch	<https://icd.codes/icd10cm/D28.2>			
MONDO:0000665	MONDO:0000665	skos:exactMatch	<https://icd.codes/icd10cm/R48.2>			
MONDO:0000665	MONDO:0000665	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/R48.2>			
MONDO:0000690	MONDO:0000690	skos:exactMatch	<https://icd.codes/icd10cm/F45.22>			
MONDO:0000690	MONDO:0000690	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F45.22>			
MONDO:0000703	MONDO:0000703	skos:exactMatch	<https://icd.codes/icd10cm/K52.831>			
MONDO:0000703	MONDO:0000703	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K52.831>			
MONDO:0000704	MONDO:0000704	skos:exactMatch	<https://icd.codes/icd10cm/K52.832>			
MONDO:0000704	MONDO:0000704	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K52.832>			
MONDO:0000736	MONDO:0000736	skos:narrowMatch	<https://icd.codes/icd10cm/L81.8>			
MONDO:0000743	MONDO:0000743	skos:exactMatch	<https://icd.codes/icd10cm/K13.3>			
MONDO:0000743	MONDO:0000743	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K13.3>			
MONDO:0000745	MONDO:0000745	skos:exactMatch	<https://icd.codes/icd10cm/I46>			
MONDO:0000745	MONDO:0000745	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/I46>			
MONDO:0000754	MONDO:0000754	skos:exactMatch	<https://icd.codes/icd10cm/K60.3>			
MONDO:0000754	MONDO:0000754	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K60.3>			
MONDO:0000816	MONDO:0000816	skos:exactMatch	<https://icd.codes/icd10cm/E88.81>			
MONDO:0000816	MONDO:0000816	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E88.81>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<https://icd.codes/icd10cm/A02.9>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<https://icd.codes/icd10cm/A02.8>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<https://icd.codes/icd10cm/A02.2>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<https://icd.codes/icd10cm/A02.1>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<https://icd.codes/icd10cm/A02.0>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<https://icd.codes/icd10cm/A01.4>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<https://icd.codes/icd10cm/A01.3>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<https://icd.codes/icd10cm/A01.2>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<https://icd.codes/icd10cm/A01.1>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<https://icd.codes/icd10cm/A01.0>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A02.9>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A02.8>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A02.2>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A02.1>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A02.0>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A01.4>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A01.3>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A01.2>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A01.1>			
MONDO:0000827	MONDO:0000827	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/A01.0>			
MONDO:0000863	MONDO:0000863	skos:narrowMatch	<https://icd.codes/icd10cm/G71.3>			
