subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0003308	pleural mesothelioma	skos:broadMatch	DOID:5157	benign pleural mesothelioma	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	benign pleural mesothelioma	LEXMATCH
MONDO:0004979	asthma	skos:broadMatch	DOID:0080821	exercise-induced bronchoconstriction	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	exercise-induced asthma	LEXMATCH
MONDO:0007600	primary Fanconi syndrome	skos:broadMatch	DOID:0080757	Fanconi renotubular syndrome 1	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	fanconi renotubular syndrome 1	LEXMATCH
MONDO:0007614	congenital fibrosis of extraocular muscles	skos:broadMatch	DOID:0081021	Tukel syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	tukel syndrome	LEXMATCH
MONDO:0008891	riboflavin transporter deficiency	skos:broadMatch	DOID:0080785	Brown-Vialetto-Van Laere syndrome 1	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	brown-vialetto-van laere syndrome 1	LEXMATCH
MONDO:0009242	brittle cornea syndrome	skos:broadMatch	DOID:0080729	brittle cornea syndrome 2	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	brittle cornea syndrome 2	LEXMATCH
MONDO:0010378	X-linked hereditary sensory and autonomic neuropathy with hearing loss	skos:broadMatch	DOID:0111741	X-linked deafness 5	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	x-linked hsan with deafness	LEXMATCH
MONDO:0010576	X-linked mixed hearing loss with perilymphatic gusher	skos:broadMatch	DOID:0111737	X-linked deafness 2	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	x-linked mixed conductive and sensorineural deafness	LEXMATCH
MONDO:0010576	X-linked mixed hearing loss with perilymphatic gusher	skos:broadMatch	DOID:0111737	X-linked deafness 2	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	nance deafness	LEXMATCH
MONDO:0010576	X-linked mixed hearing loss with perilymphatic gusher	skos:broadMatch	DOID:0111737	X-linked deafness 2	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	x-linked mixed conductive and neurosensory deafness	LEXMATCH
MONDO:0010576	X-linked mixed hearing loss with perilymphatic gusher	skos:broadMatch	DOID:0111737	X-linked deafness 2	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	conductive deafness with stapes fixation	LEXMATCH
MONDO:0010576	X-linked mixed hearing loss with perilymphatic gusher	skos:broadMatch	DOID:0111737	X-linked deafness 2	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	x-linked deafness type 2	LEXMATCH
MONDO:0015134	constitutional neutropenia	skos:broadMatch	DOID:0112133	severe congenital neutropenia 3	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	kostmann syndrome	LEXMATCH
MONDO:0015134	constitutional neutropenia	skos:broadMatch	DOID:0112133	severe congenital neutropenia 3	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	kostmann disease	LEXMATCH
MONDO:0016643	frontonasal dysplasia	skos:broadMatch	DOID:0081045	frontonasal dysplasia 1	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	frontonasal dysplasia 1	LEXMATCH
MONDO:0019530	non-syndromic syndactyly	skos:broadMatch	DOID:0111816	syndactyly type 1	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	chromosome 2q35 duplication syndrome	LEXMATCH
MONDO:0021005	faciodigitogenital syndrome	skos:broadMatch	DOID:0111824	Aarskog syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	aarskog syndrome	LEXMATCH
MONDO:0021005	faciodigitogenital syndrome	skos:broadMatch	DOID:0111824	Aarskog syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	aarskog-scott syndrome	LEXMATCH
MONDO:0029137	hearing loss, autosomal dominant 74	skos:broadMatch	DOID:0112165	autosomal dominant nonsyndromic deafness 74	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	dfna74	LEXMATCH
MONDO:0030058	hearing loss, autosomal dominant 77	skos:broadMatch	DOID:0112168	autosomal dominant nonsyndromic deafness 77	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	dfna77	LEXMATCH
MONDO:0032911	hearing loss, autosomal dominant 75	skos:broadMatch	DOID:0112166	autosomal dominant nonsyndromic deafness 75	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	dfna75	LEXMATCH
MONDO:0032917	hearing loss, autosomal dominant 76	skos:broadMatch	DOID:0112167	autosomal dominant nonsyndromic deafness 76	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	dfna76	LEXMATCH
MONDO:0033665	hearing loss, autosomal dominant 78	skos:broadMatch	DOID:0112159	autosomal dominant nonsyndromic deafness 78	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	dfna78	LEXMATCH
MONDO:0033668	hearing loss, autosomal dominant 79	skos:broadMatch	DOID:0112160	autosomal dominant nonsyndromic deafness 79	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	dfna79	LEXMATCH
MONDO:0033670	hearing loss, autosomal recessive 116	skos:broadMatch	DOID:0112162	autosomal recessive nonsyndromic deafness 116	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	dfnb116	LEXMATCH
MONDO:0100452	RPE65-related dominant retinopathy	skos:broadMatch	DOID:0112144	retinitis pigmentosa 87	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	retinitis pigmentosa 87 with choroidal involvement	LEXMATCH
MONDO:0800101	NMNAT1-related retinopathy	skos:broadMatch	DOID:0112290	spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	oio:hasExactSynonym	shilca syndrome	LEXMATCH
MONDO:0800101	NMNAT1-related retinopathy	skos:broadMatch	DOID:0112290	spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis	semapv:LexicalMatching	oaklib	0.8	oio:hasNarrowSynonym	rdfs:label	spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and leber congenital amaurosis	LEXMATCH
