subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	comment
MONDO:0000023	infantile liver failure	skos:exactMatch	DOID:0080716	infantile liver failure syndrome	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omimps:615438	LEXMATCH
MONDO:0000023	infantile liver failure	skos:exactMatch	DOID:0080716	infantile liver failure syndrome	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	infantile liver failure syndrome	LEXMATCH
MONDO:0000087	polymicrogyria	skos:exactMatch	DOID:0080918	polymicrogyria	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	polymicrogyria	LEXMATCH
MONDO:0000088	precocious puberty	skos:exactMatch	DOID:0112308	central precocious puberty	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	mesh:d011629	LEXMATCH
MONDO:0000136	keratosis follicularis spinulosa decalvans	skos:exactMatch	DOID:0080753	keratosis follicularis spinulosa decalvans	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	keratosis follicularis spinulosa decalvans	LEXMATCH
MONDO:0000141	mosaic variegated aneuploidy syndrome	skos:exactMatch	DOID:0080688	mosaic variegated aneuploidy syndrome	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	mosaic variegated aneuploidy syndrome	LEXMATCH
MONDO:0000141	mosaic variegated aneuploidy syndrome	skos:exactMatch	DOID:0080688	mosaic variegated aneuploidy syndrome	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omimps:257300	LEXMATCH
MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B	skos:exactMatch	DOID:0112375	muscular dystrophy-dystroglycanopathy type B	semapv:LexicalMatching	oaklib	0.9411764705882352	oio:hasDbXref	oio:hasDbXref	omimps:613155	LEXMATCH
MONDO:0000275	obsolete monogenic disease	skos:exactMatch	DOID:0050177	monogenic disease	semapv:UnspecifiedMatching						MONDO_MAPPINGS
MONDO:0000348	obsolete posterior polar cataract	skos:exactMatch	DOID:0050537	posterior polar cataract	semapv:UnspecifiedMatching						MONDO_MAPPINGS
