subject_id	subject_label	predicate_id	object_id	mapping_justification	object_label	comment	mapping_tool	confidence	subject_match_field	object_match_field	match_string
MONDO:0001872	obsolete vestibular nystagmus	skos:exactMatch	DOID:14070	Unspecified	vestibular nystagmus	MONDO_MAPPINGS					
MONDO:0000857	obsolete Charcot-Marie-Tooth disease type 7	skos:exactMatch	DOID:0080069	Unspecified	Charcot-Marie-Tooth disease type 7	MONDO_MAPPINGS					
MONDO:0000568	autoimmune disorder of central nervous system	skos:exactMatch	DOID:0060004	Unspecified	autoimmune disease of central nervous system	MONDO_MAPPINGS					
MONDO:0000793	obsolete rainbow trout allergy	skos:exactMatch	DOID:0060518	Unspecified	rainbow trout allergy	MONDO_MAPPINGS					
MONDO:0003192	rete ovarii neoplasm	skos:exactMatch	DOID:4895	Unspecified	rete ovarii benign neoplasm	MONDO_MAPPINGS					
MONDO:0003456	obsolete bile duct mucinous cystic neoplasm	skos:exactMatch	DOID:5469	Unspecified	biliary tract intraductal papillary mucinous neoplasm	MONDO_MAPPINGS					
MONDO:0002051	integumentary system disorder	skos:exactMatch	DOID:16	Unspecified	integumentary system disease	MONDO_MAPPINGS					
MONDO:0000590	autoimmune disorder of peripheral nervous system	skos:exactMatch	DOID:0060033	Unspecified	autoimmune disease of peripheral nervous system	MONDO_MAPPINGS					
MONDO:0000801	obsolete green mud crab allergy	skos:exactMatch	DOID:0060526	Unspecified	crab allergy	MONDO_MAPPINGS					
MONDO:0025518	obsolete aspirin allergy	skos:exactMatch	DOID:0040002	Unspecified	aspirin allergy	MONDO_MAPPINGS					
MONDO:0000651	obsolete thoracic disorder	skos:exactMatch	DOID:0060118	Unspecified	thoracic disease	MONDO_MAPPINGS					
MONDO:0001578	obsolete hernia of ovary and fallopian tube	skos:exactMatch	DOID:12735	Unspecified	hernia of ovary and fallopian tube	MONDO_MAPPINGS					
MONDO:0000603	autoimmune disorder of cardiovascular system	skos:exactMatch	DOID:0060051	Unspecified	autoimmune disease of cardiovascular system	MONDO_MAPPINGS					
MONDO:0006728	obsolete discitis	skos:exactMatch	DOID:10986	Unspecified	discitis	MONDO_MAPPINGS					
MONDO:0000797	obsolete goat milk allergy	skos:exactMatch	DOID:0060522	Unspecified	goat milk allergy	MONDO_MAPPINGS					
MONDO:0000348	obsolete posterior polar cataract	skos:exactMatch	DOID:0050537	Unspecified	posterior polar cataract	MONDO_MAPPINGS					
MONDO:0004268	obsolete subareolar duct papillomatosis	skos:exactMatch	DOID:7533	Unspecified	subareolar duct papillomatosis	MONDO_MAPPINGS					
MONDO:0000238	obsolete pestis minor	skos:exactMatch	DOID:0050068	Unspecified	obsolete pestis minor	MONDO_MAPPINGS					
MONDO:0003607	neuritis of upper limb	skos:exactMatch	DOID:572	Unspecified	mononeuritis of upper limb and mononeuritis multiplex	MONDO_MAPPINGS					
MONDO:0005862	obsolete multiple chemical sensitivity	skos:exactMatch	DOID:4661	Unspecified	multiple chemical sensitivity	MONDO_MAPPINGS					
MONDO:0001679	obsolete crater-like holes of optic disc	skos:exactMatch	DOID:13295	Unspecified	crater-like holes of optic disc	MONDO_MAPPINGS					
MONDO:0000776	obsolete metal allergy	skos:exactMatch	DOID:0060501	Unspecified	metal allergy	MONDO_MAPPINGS					
MONDO:0002891	obsolete gastrointestinal neuroendocrine benign tumor	skos:exactMatch	DOID:4148	Unspecified	gastrointestinal neuroendocrine benign tumor	MONDO_MAPPINGS					
MONDO:0021199	obsolete disease by anatomical system	skos:exactMatch	DOID:7	Unspecified	disease of anatomical entity	MONDO_MAPPINGS					
MONDO:0000586	autoimmune disorder of exocrine system	skos:exactMatch	DOID:0060029	Unspecified	autoimmune disease of exocrine system	MONDO_MAPPINGS					
MONDO:0007021	obsolete wheat allergic disease	skos:exactMatch	DOID:3660	Unspecified	wheat allergy	MONDO_MAPPINGS					
MONDO:0003998	vaginal tubular adenoma	skos:exactMatch	DOID:6809	Unspecified	vaginal tubular adenoma	MONDO_MAPPINGS					
MONDO:0000803	obsolete tiger prawn allergy	skos:exactMatch	DOID:0060528	Unspecified	tiger prawn allergy	MONDO_MAPPINGS					
MONDO:0017841	obsolete autoimmune disease with skin involvement	skos:exactMatch	DOID:0060039	Unspecified	autoimmune disease of skin and connective tissue	MONDO_MAPPINGS					
MONDO:0004167	obsolete lung clear cell carcinoma	skos:exactMatch	DOID:7267	Unspecified	lung clear cell carcinoma	MONDO_MAPPINGS					
MONDO:0000773	obsolete Timothy grass allergy	skos:exactMatch	DOID:0060498	Unspecified	Timothy grass allergy	MONDO_MAPPINGS					
MONDO:0001193	obsolete chorioretinal scar	skos:exactMatch	DOID:11086	Unspecified	chorioretinal scar	MONDO_MAPPINGS					
MONDO:0005218	muscular disorder	skos:exactMatch	DOID:0080000	Unspecified	muscular disease	MONDO_MAPPINGS					
MONDO:0000595	sexual and gender identity disorders	skos:exactMatch	DOID:0060043	Unspecified	sexual health disorder	MONDO_MAPPINGS					
MONDO:0004860	vitreous disorder	skos:exactMatch	DOID:9720	Unspecified	vitreous disease	MONDO_MAPPINGS					
MONDO:0000796	obsolete cow milk allergy	skos:exactMatch	DOID:0060521	Unspecified	cow milk allergy	MONDO_MAPPINGS					
MONDO:0000839	obsolete congenital abnormality	skos:exactMatch	DOID:0080015	Unspecified	physical disorder	MONDO_MAPPINGS					
MONDO:0000798	obsolete mollusc allergy	skos:exactMatch	DOID:0060523	Unspecified	mollusc allergy	MONDO_MAPPINGS					
MONDO:0000805	obsolete snail allergy	skos:exactMatch	DOID:0060530	Unspecified	snail allergy	MONDO_MAPPINGS					
MONDO:0100471	vitamin D deficiency	skos:exactMatch	DOID:10574	Unspecified	obsolete vitamin D deficiency	MONDO_MAPPINGS					
MONDO:0000602	autoimmune disorder of blood	skos:exactMatch	DOID:0060050	Unspecified	autoimmune disease of blood	MONDO_MAPPINGS					
MONDO:0010936	frontotemporal dementia and/or amyotrophic lateral sclerosis 7	skos:exactMatch	DOID:0060208	Unspecified	obsolete amyotrophic lateral sclerosis type 17	MONDO_MAPPINGS					
MONDO:0000425	X-linked disease	skos:exactMatch	DOID:0050735	Unspecified	X-linked monogenic disease	MONDO_MAPPINGS					
MONDO:0000802	obsolete Indian prawn allergy	skos:exactMatch	DOID:0060527	Unspecified	Indian prawn allergy	MONDO_MAPPINGS					
MONDO:0000569	autoimmune disorder of endocrine system	skos:exactMatch	DOID:0060005	Unspecified	autoimmune disease of endocrine system	MONDO_MAPPINGS					
MONDO:0002633	cranial nerve neoplasm	skos:exactMatch	DOID:338	Unspecified	obsolete cranial nerve neoplasm	MONDO_MAPPINGS					
MONDO:0001662	obsolete right bundle branch block	skos:exactMatch	DOID:13209	Unspecified	right bundle branch block	MONDO_MAPPINGS					
MONDO:0000834	obsolete bone deterioration disease	skos:exactMatch	DOID:0080007	Unspecified	bone deterioration disease	MONDO_MAPPINGS					
MONDO:0000872	B-cell childhood acute lymphoblastic leukemia	skos:exactMatch	DOID:0080146	Unspecified	childhood B-cell acute lymphoblastic leukemia	MONDO_MAPPINGS					
MONDO:0024657	obsolete macrocystic neurilemmoma	skos:exactMatch	DOID:3203	Unspecified	macrocystic neurilemmoma	MONDO_MAPPINGS					
MONDO:0000742	obsolete persistent generalized lymphadenopathy	skos:exactMatch	DOID:0060314	Unspecified	persistent generalized lymphadenopathy	MONDO_MAPPINGS					
MONDO:0003816	articular cartilage disorder	skos:exactMatch	DOID:6227	Unspecified	articular cartilage disease	MONDO_MAPPINGS					
MONDO:0000779	obsolete apple allergy	skos:exactMatch	DOID:0060504	Unspecified	apple allergy	MONDO_MAPPINGS					
MONDO:0000373	gall bladder carcinoma in situ	skos:exactMatch	DOID:0050612	Unspecified	gallbladder carcinoma in situ	MONDO_MAPPINGS					
MONDO:0005128	obsolete sensory system disease	skos:exactMatch	DOID:0050155	Unspecified	sensory system disease	MONDO_MAPPINGS					
MONDO:0000991	obsolete left bundle branch block	skos:exactMatch	DOID:10272	Unspecified	left bundle branch hemiblock	MONDO_MAPPINGS					
MONDO:0000606	obsolete gluten allergy	skos:exactMatch	DOID:0060057	Unspecified	gluten allergy	MONDO_MAPPINGS					
MONDO:0008060	nonsyndromic congenital nail disorder 1	skos:exactMatch	DOID:0080088	Unspecified	obsolete nonsyndromic congenital nail disorder 10	MONDO_MAPPINGS					
MONDO:0002324	obsolete enamel erosion	skos:exactMatch	DOID:2497	Unspecified	enamel erosion	MONDO_MAPPINGS					
MONDO:0000790	obsolete Atlantic salmon allergy	skos:exactMatch	DOID:0060515	Unspecified	Atlantic salmon allergy	MONDO_MAPPINGS					
MONDO:0011910	obsolete autosomal dominant limb-girdle muscular dystrophy type 1C	skos:exactMatch	DOID:0110302	Unspecified	obsolete autosomal dominant limb-girdle muscular dystrophy type 1C	MONDO_MAPPINGS					
MONDO:0003043	obsolete extraskeletal mesenchymal chondrosarcoma	skos:exactMatch	DOID:4548	Unspecified	extraskeletal mesenchymal chondrosarcoma	MONDO_MAPPINGS					
MONDO:0001467	obsolete specific bursitis often of occupational origin	skos:exactMatch	DOID:12223	Unspecified	specific bursitis often of occupational origin	MONDO_MAPPINGS					
MONDO:0021657	ovarian sex cord-stromal tumor	skos:exactMatch	DOID:0080369	Unspecified	ovarian sex-cord stromal tumor	MONDO_MAPPINGS					
MONDO:0000788	obsolete fish allergy	skos:exactMatch	DOID:0060513	Unspecified	fish allergy	MONDO_MAPPINGS					
